Название университета + местоположение,Общее заключение по университету и финансированию,Наличие стипендий и финансирования (merit-based/need-based),Рейтинг,Локация,Процент принятия студентов (acceptance rate),Самые популярные специализации,Дедлайны подачи документов,Что необходимо подать? (ссылка + дополнительная информация),TOEFL/IELTS,SAT/ACT,GPA,Стоимость образования,Стоимость проживаня,Need-based scholarship (на основе финансов) ,Merit-based scholarship ,"% студентов, которые получают финансирование",Средняя сумма стипендии,Сбор за подачу документов + есть ли fee waiver,Контакты,Ссылки,,,,,,,,
Illinois Wesleyan University (lack money),"Вуз предоставляет несколько стипендий, которые могут покрыть 100% обучения, а также немного стипендий поменьше. Обязательно обрати внимание на то, что Если ты не сдаешь SAT, нужно будет пройти интервью!!!",Да,#80 in National Liberal Arts Colleges (US News),"Блумингтон, Иллинойс",60%,"27%Business/Marketing
11%Biology
10%Health Professions
10%Visual and Performing Arts
8%Social Sciences
6%Education6%Psychology

https://www.iwu.edu/academics/","https://www.iwu.edu/majors/ - ALL MAJORS 

Economics -  https://www.iwu.edu/economics/ 

Political science - https://www.iwu.edu/political-science/ 

Sociology - https://www.iwu.edu/sociology/ ","1. Common Application 
2. Транскрипт
3. Языковой экзамен
4. Эссе
5. Рекомендательные письма
6. копия паспорта 
7. Документ о финансовом состоянии семьи 
8. SAT или интервью","IELTS 6.5,
TOEFL score - 80 iBT (Internet-based)
Duolingo - 105","SAT или
Personal Interview (for test optional)

Ср. балл SAT - 1120-1320
",3.5,"$52,308","$12,112","• IWU практикует политику приема иностранных студентов с учетом потребностей. При выполнении требуемого финансового взноса в размере 10 000 долларов США в год заявки оцениваются без дальнейшего рассмотрения платежеспособности (без учета потребностей).

Но можно просто податься на merit-based","INTERNATIONAL STUDENT AWARDS Scholarships: 

Варьируется от 1к до 100% покрытия обучения

Presidents Scholarships (full tuition): 

Две стипендии, которые покроют 100% стоимость обучения",100%,"$31,827",$0,"Assistant Director for International Admissions
Illinois Wesleyan University:
international@iwu.edu","https://www.iwu.edu/international/admission.html 

https://www.iwu.edu/international/scholarships.html 

https://www.iwu.edu/financial-aid/grants/SG_Types.html  ",,,,,,,,
Holy Cross College,"Вуз покроет 100% обучения, если вы продемонстрируете потребность в этом. Желательно пойти на интервью с вузом","Да, Need-based",#36 in National Liberal Arts Colleges,"Вустер, Массачусетс",74%,"https://www.holycross.edu/academics/academic-programs

29%Social Sciences
13%Psychology
8%English
8%Foreign Languages and Literature
7%Biology
6%Mathematics
6%Physical Sciences
5%History",3%,"1. Сертифекат о финансах 
2. Результаты за языковой экзамен
3. Интервью (необязательно, но рекомендуют)","100 - TOEFL
 7 - IELTS 
120 - DET","Не обязательно

Ср. балл - 1010+",3.82/4.0,$27900,$8040,Holy Cross удовлетворяет 100% заявленной потребности всех принятых иностранных студентов,Не доступно,91%,"$45,064",$0,admissions@holycross.edu - приемная комиссия,"""https://www.holycross.edu/apply/international-students

https://www.holycross.edu/visit/interviews""",,,,,CSS или ISFAA,$0,,
Agnes Scott College,Колледж может покрыть 100% твоих потребностей. ,Да,#61 in National Liberal Arts Colleges,"Декейтер, Джорджия",65%,"https://www.agnesscott.edu/academics/majors-minors/index.html 

18%Social Sciences
15%Biology
11%Health Professions
11%Visual and Performing Arts
7%English
6%Area and Ethnic Studies
6%Business/Marketing
6%Psychology
5%History",7%,"1. Common Application
2. Языковой экзамен
3. Сертификат о финансах
4. Паспорт
5. Интервью (необязательно)
6. Отчет за полгугодие (необязательно)","TOEFL iBT - 80
IELTS - 6.5
DET - 110","Необязательно
SAT ср. балл - 1130 - 1340",3.0/4.0,"$43,920","$13,050","Да, готовы покрыть 100% потребностей иностранных студентов, которые поступили в их университет","Marvin B. Perry Presidential Scholarship 
Готовы покрыть 100% твоих потребностей. 

грант по приглашению, соответственно могут запросить потом доп эссе и/или интервью",95%,"$30,921",$30,https://www.agnesscott.edu/contact-us.html,"https://www.agnesscott.edu/admission/undergraduate-admission/international-students/index.html

https://www.agnesscott.edu/admission/undergraduate-admission/scholarships-financial-aid/index.html",,,,,"грант по приглашению, соответственно могут запросить потом доп эссе и/или интервью",$30,,
Bennington College,"Отличный, на мой взгляд, вариант. Они могут дать нужное финансирование, но для этого нужно максимально произвести впечатление. Они не дают гарантии, что во всех случаях готовы покрыть 100% все по финансовым возможностям своих студентов","Да, Need based + some sort of merit based",#76 in National Liberal Arts Colleges,Беннингтон (штат Вермонт),60%,"Visual and Performing Arts : 48.0%
English : 9.0%
Social Sciences : 7.0%
Foreign Languages and Literature : 6.0%
Public Administration and Social Services : 5.0%

https://www.bennington.edu/academics/areas-of-study ",17% (сlass of 2024),"1. Языковой экзамен 
2. Интервью
3. Тесты (не обязательно)
4. Транскрипты","те, кто успешно постумают имеют минимум 100 on the TOEFL, 7 on the IELTS, 120 on the DET ","Не обязательно,

Ср. Балл - 1440+ SAT",3.81/4.0,"$58,848","$9,350","не всегда могут meet full demonstrated need, но все равно хороший вариант. ","есть, Стипендии варьируются от 5000 до 30 000 долларов США в зависимости от силы заявки студента и его потенциала внести свой вклад в сообщество кампуса.",92%,"$46,000",$75,admissions@bennington.edu. - приемная комиссия,"https://www.bennington.edu/admissions/apply/financing-your-education/financial-aid-undergraduates/apply-financial-aid-0

https://www.bennington.edu/admissions/apply/applying-international-student

https://admissions.bennington.edu/register/ScheduleOffCampusInterview ",,,,,CSS + дополнительные формы https://srfs.upenn.edu/financial-aid/apply/prospective-UG-checklists/international ,$75,,
Temple University,"Стоимость обучения в этом вузе не очень высокая, поэтому вуз может позволить и покрыть всю стоимость обучения нескольким иностранным студентам. Плюс, есть программа. которая может дать стипендию до 20к, правда только 2 студента смогут ее получить. ","Да, Merit based",#104,"Филадельфия, Пенсильвания",60%,"26%Business/Marketing 12%Communications /Journalism                 
7% Health Professions 
7%Visual and Performing Arts 
6% Biology 
5% Engineering
5% Parks And Recreation 5% Psychology    
5% Social Sciences

https://www.temple.edu/academics/degree-programs",14:1 ratio,"1. Заполните Common Application
2. Транскрипт
3. Результаты Тестов
4. Языковой экзамен","TOEFL 79
IELTS 6
Duolingo 110",Не обязательно,3.54,"$34,049",$14K,Нет точной информации,"Университет Темпла присуждает стипендии за заслуги иностранным студентам с высокими академическими достижениями. Эти стипендии варьируются от 1000 долларов до полного обучения. Доступность финансирования, а также размер, качество и характеристики общего пула кандидатов будут определять количество и стоимость предлагаемых стипендий за заслуги.

Благодаря стипендии #YouAreWelcomeHere TU признает иностранных студентов, которые демонстрируют видение улучшения межкультурного взаимопонимания. Темпл был одним из первых девяти университетов, принявших первоначальное обязательство по инициативе #YouAreWelcomeHere. Каждый год мы отбираем двух первокурсников для получения ежегодной возобновляемой стипендии в размере 20 000 долларов.",62%,10K,"$55, or a fee waiver",https://admissions.temple.edu/about/contact,"https://apply.temple.edu/UGADMISSIONS/Pages/prospectinquiry.aspx?f=f8a35316-f0c1-4ffc-936b-84adc40e1b46&o=d2dc86f1-f536-4921-b82c-73dfbf3734f7&TempleReferrer=https://admissions.temple.edu/

https://admissions.temple.edu/apply/international-students",,,,,,,,
Ohio Wesleyan University,"Это достаточно щедрый университет, но он не может предоставить 100% финансирование, поэтому надо будет внести определенную сумму самостоятельно",Да,#185,"Делавер, Огайо",69%,"16% Biology 
16% Business/Marketing
11% Social Sciences 
9% Parks And Recreation 
7% Foreign Languages and Literature 
7% Psychology  
6% Visual and Performing Arts                    
5% English

https://www.owu.edu/academics/#majors-minors",10:1 ratio,Common Application,"TOEFL 80
IELTS 6.5
Duolingo 100",Не обязательно,3.4,"$46,870",$14K,"""Уэслианский университет Огайо предоставляет стипендии, основанные на заслугах, и финансовую помощь иностранным студентам, основанную на потребностях. Конкретные суммы стипендий и получаемой финансовой помощи различны для каждого заявителя, и мы работаем в каждом конкретном случае. Диапазон финансовой помощи для иностранных студентов составляет от 5000 до 45 000 долларов США в год со средней стипендией в размере 30 000 долларов США в год.

Полные стипендии в Уэслиане штата Огайо недоступны, и каждый год требуется некоторый семейный взнос.
Если вы намерены запросить финансовую помощь, рекомендуется показать, что ваша семья может вносить не менее 22 000 долларов США в год на ваши расходы на образование ""","""Уэслианский университет Огайо предоставляет стипендии, основанные на заслугах, и финансовую помощь иностранным студентам, основанную на потребностях. Конкретные суммы стипендий и получаемой финансовой помощи различны для каждого заявителя, и мы работаем в каждом конкретном случае. Диапазон финансовой помощи для иностранных студентов составляет от 5000 до 45 000 долларов США в год со средней стипендией в размере 30 000 долларов США в год.

Полные стипендии в Уэслиане штата Огайо недоступны, и каждый год требуется некоторый семейный взнос.
Если вы намерены запросить финансовую помощь, рекомендуется показать, что ваша семья может вносить не менее 22 000 долларов США в год на ваши расходы на образование """,100%,32K,нет,"owuadmit@owu.edu - приемная комиссия

financialaid@owu.edu","https://www.owu.edu/admission/apply/international-students/international-scholarships-and-need-based-aid/
https://www.owu.edu/admission/apply/international-students/frequently-asked-questions/
https://www.owu.edu/admission/apply/international-students/how-to-apply/",,,,,no fee,,,
Mount Saint Mary's University ,100% студентов получают то или иное финансирование. Некоторые из них получают полное финансирование от вуза,"Да, Merit based",#308,"Лос Анджелес, Калифорния",68%,"36% Health Professions 
13% Business/Marketing
13% Psychology 
9% Social Sciences 
7% Liberal Arts 
5% Biology           
5% Public Administration and Social Services

https://www.msmu.edu/graduate-programs/   https://www.msmu.edu/undergraduate-bachelor-programs/     ",13:1 ratio,"1. Заполненная форма заявки (common app)
2. Заверенные копии в переводе на английский язык курсов и оценок среднего уровня, результатов государственных или национальных экзаменов и соответствующего диплома или сертификата, полученных в средней школе. Университет настоятельно рекомендует использовать SpanTran, чтобы мы могли наилучшим образом оценить вашу кандидатуру.
3. Официальные результаты теста по английскому языку как иностранному (TOEFL)
Обязательными пунктами являются: официальный транскрипт из средней школы*, по крайней мере одно (1) академическое рекомендательное письмо*. Необязательными пунктами являются: мотивационное эссе, дополнительные рекомендательные письма, резюме, стандартизированные результаты тестов
*В связи с закрытием многих школ в связи с COVID-19 мы временно отказываемся от требования о представлении рекомендательного письма и принимаем транскрипты из средней школы, представленные учащимися, вместо официальных копий.","TOEFL 83
IELTS 6.5",Не обязательно,3.34,"$42,590","	$12,877",Не доступно,"Каждому студенту, подающему заявку, предлагается стипендия за заслуги, основанная на академических достижениях, результатах тестов и внеклассных достижениях. Награды за заслуги продлеваются в течение ваших четырех лет. Все, что вам нужно сделать, это поддерживать общий средний балл по конкурсу (средний балл). Некоторые стипендии зависят от конкретного факультета; у них также есть свои собственные требования.
Награды за полное обучение предлагаются тем, кто обладает исключительными академическими заслугами.",100%,17K,$45,b.w.rockwell@msmary.edu,"https://msmary.edu/admissions/international-admissions.html
https://msmary.edu/admissions/financial-aid/net-price-calculator.html  price net calculator
https://msmary.edu/admissions/tuition-and-fees.html
https://msmary.edu/undergraduate-applications.html
msmu.edu/academics/financial-aid/prospective-students/traditional-undergraduate/types-of-aid/",,,,,$60 or a fee waiver,,,
Millsaps College,"Вуз предоставляет финансирование на основе достижений. Обязательно обрати внимание на уровни. Университет четко их разделяет. Если хочешь получить самую большую стипендию, то у тебя точно должно быть достижение 1 уровня.","Да, Merit based",?,"Джаксон, Мисиссипи",69%,"45% Business/Marketing
19% Biology 
8% Psychology   
7% Social Sciences

https://www.millsaps.edu/academics/majors-minors/",9:1 ratio,"Шаг 1: Отправьте либо Common Application or Millsaps International Application.

Шаг 2: Отправьте форму International Qualifications Self-Report form.","TOELF 80
IELTS: 6.5","Не обязательно, если можешь, то отправь

Ср. балл - 1080-1290",3.65,"$38,220",$20K,Не доступно,"Иностранные студенты будут автоматически рассматриваться на получение стипендий, основанных на заслугах. Для получения стипендий, основанных на заслугах, не требуется отдельного заявления. Окончательная награда будет определена на основе целостного анализа таких критериев, как средний балл студента (преобразованный Millsaps в средний балл США по шкале 4,0), строгость учебной программы студента и учебной программы средней школы и/или колледжа, лидерство, участие во внеклассной работе, рекомендательные письма, отношения выпускников/наследия, институциональная пригодность и проявленный интерес. Студенты могут претендовать на художественные, музыкальные или театральные таланты.
Уровень 1: 30 000 долларов
Уровень 2: 26 000-28 000 долларов США
Уровень 3: 23 000-25 000 долларов США
Уровень 4: 20 000-22 000 долларов США",95%,31K,нет,https://www.millsaps.edu/resources/contact/,"http://www.millsaps.edu/admissions/apply-international-students.php
http://www.millsaps.edu/admissions/international-students.php",,,,,,,,
Hampshire College,"Университет может предоставить финансирование на основе потребностей, но оно ограничено. А вот merit-based можно получить до 64к","Да, Merit based",#270,"Амхерст, Массачусетс",63%,"31% Visual and Performing Arts 
8% Social Sciences 
7% Computer and Information Sciences 
7% English 
6% Biology 
6% Education
6% Psychology     
5% Area and Ethnic Studies

https://www.hampshire.edu/academics/areas-of-study",?,"1. Common Application and Writing Supplement
2. Транскрипт средней школы (текущий или итоговый)
3. Отчет о школе и рекомендация консультанта колледжа
4. Одно (1) рекомендательное письмо преподавателя
5. Оценка TOEFL или IELTS
Дополнительные материалы:
1. Видео/медиа-дополнение. Это может быть музыка, танец, фильм, анимация, монолог и т. Д.
2. Образец проекта: Отправьте пример своей независимой или совместной проектной работы. Этот проект может быть творческим, научным или иным образом демонстрировать тип работы, которую вы выполняли в средней школе.
3. Дополнительные рекомендательные письма, до трех.","TOEFL 91
IELTS 6.5",Не обязательно,3.7,"$50,030",$13K,"Колледж Хэмпшир предлагает ограниченную финансовую помощь (грант) иностранным студентам, которые демонстрируют финансовую потребность.","Да, до 64к",95%,44K(64K max),нет,admissions@hampshire.edu - приемная комиссия,https://www.hampshire.edu/admissions/merit-scholarships,,,,,,,,
Missouri Western State University ,"Государственный вуз, высокий процент принятия. Конкурс на грант высокий, тут реально получить стипендию GPA и баллы за языковой экзамен у поступающих не очень высокие. ","Дa, need - based",#119-#156 in Regional Universities,"Сент-Джозеф, Миссури",74%,"17%Business/Marketing
15%Health Professions
12%Education
9%Security and Protective Services
7%Parks And Recreation
6%Biology
5%Visual and Performing Arts

https://www.missouriwestern.edu/sites/academics/","https://www.missouriwestern.edu/social-sciences-and-humanities/ - social-sciences-and-humanities

https://www.missouriwestern.edu/sites/academics/ - all majors","Онлайн-Заявка
Вступительный взнос в размере 50 Долларов США
Транскрипт
Неофициальный транскрипт 
Подтверждение владения языком
J1 Дополнительное приложение
Копия паспорта
Документы о финансовой Поддержке","TOEFL 72
IELTS 5.5
Duolingo 95",Не обязательно,2.5 - 3.5 ,"$9,648.60 - $14,365","$9,592","International Griffon Scholar Award For Incoming Freshmen (конкурентоспособная стипендия на полное обучение, проживание и питание, страхование и сборы для студента со значительными финансовыми потребностями.)",Не доступно,98%,"$8,039","$50 (если подаваться на грант, то будет 0. Если грант не получит, нужно будет заплатить $50)",https://www.missouriwestern.edu/contactus//,"https://www.missouriwestern.edu/finaid/scholarship-opportunities/ 

https://www.missouriwestern.edu/global/undergraduate-admissions-requirements/",,,,,,,,
Sewanee the University of the South ,"Университет предоставляет разные стипендии. Требования у вуза не самые высокие и они берут много студентов, ты можешь выделиться хорошими достижениями, высоким GPA и хорошими баллами за языковые экзамены. Oни выдают need-based aid, но также смотрят на академичческий профиль студента. Но есть минус, здесь не очень много программ.",Да,#46 in National Liberal Arts Colleges,"Севани, Теннесси",67%,"25%Social Sciences
12%Psychology
10%Biology
10%Interdisciplinary Studies
9%English
7%Environmental Science
7%History
6%Foreign Languages and Literature
5%Visual and Performing Arts

https://new.sewanee.edu/academics/","https://new.sewanee.edu/programs-of-study/ - ALL MAJORS 

ECONOMICS - https://new.sewanee.edu/programs-of-study/economics/ 

POLITICS - https://new.sewanee.edu/programs-of-study/politics/ 

","""1. Онлайн-заявка
2. Транскрипт средней школы (текущий или итоговый)мендация консультанта колледжа
3. Результаты экзаменов
4. Отчет о школе 
5. Оценка TOEFL или IELTS
6. Документы на финансирование","Duolingo: 115+
IELTS: 7.0+
PTE Academic: 70+
TOEFL iBT: 95+ ",Не обязательно,3.5,"$47,980","$13,700","Sewanee полностью удовлетворяет продемонстрированные потребности всех поступивших студентов первого курса, которые имеют право на получение финансовой помощи. Узнайте больше о стипендиях и помощи, основанной на потребностях, ниже.

GLOBAL SCHOLARSHIPS 

Sewanee ежегодно присуждает 10 Глобальных стипендий принятым международным заявителям (не являющимся гражданами США). Глобальные ученые получают прямые расходы на обучение, проживание, питание и оплату за четыре года обучения подряд в Sewanee. Эти стипендии предоставляются международным кандидатам с сильным академическим профилем, которые продемонстрировали высокую финансовую потребность. Кандидаты должны подать заявку на получение финансовой помощи, основанной на потребностях, для рассмотрения.",Не доступно,98%,"$25,979",$0,"TIM NEIL, C'13
INTERNATIONAL ENROLLMENT COORDINATOR, DSO

international@sewanee.edu |","https://new.sewanee.edu/admission-aid/application-process/application-review/international-applicant/

 https://new.sewanee.edu/admission-aid/cost-financial-aid/scholarships/

 https://new.sewanee.edu/admission-aid/application-process/application-review/international-applicant/international-aid/ """,,,,,,,,
Simmons University,"Этот университет - женский. Чтобы быть конкурентноспособной для получения стипендии, нужно набрать минимум 1300 на SAT. ","Да, мerit-based",#133 in National Universities ,"Бостон, Массачусетс ",74%,"38%Health Professions
10%Social Sciences
8%Biology
7%Parks And Recreation
6%Interdisciplinary Studies
5%Business/Marketing
5%Communications/Journalism

https://www.simmons.edu/undergraduate/academics/majors-minors?type=42&school_department=All",2.1% of student body,"1. Common Application 
2. Транскрипт
3. Языковой экзамен
4. Рекомендательные письма (2)
5. Интервью не обязательно, но рекомендуется
6. SAT (для гранта)","Только TOEFL или IELTS, минимум не написан, ориентироваться на 100+ и 7+ соответственно","Обязательно

Ср. Балл - 1300.",3.44/4.0,"$41,872","$7,946	",Не доступно,"Kotzen Scholarship

The Kotzen Scholarship предусматривает покрытие расходов на полное обучение, проживание и питание, а также дополнительные 3000 долларов США для академических занятий, таких как обучение за рубежом, поддержка исследований и многое другое. Эта стипендия присуждается в течение четырехлетнего периода очного обучения в бакалавриате и заменяет любую ранее присужденную стипендию за заслуги.",100%,"$37,138",$0,https://www.simmons.edu/about/contact-us,"https://engage.simmons.edu/portal/visitug?_ga=2.46983527.1126135279.1618670159-1126680004.1618670159 

https://www.simmons.edu/undergraduate/admission-and-financial-aid/tuition-financial-aid/applying-financial-aid 

https://www.simmons.edu/undergraduate/admission-and-financial-aid/tuition-financial-aid/types-financial-aid/scholarships/kotzen ",,,,,"Да, отдельное эссе нужно будет отправить для Kotzen",$0,,
North Central College,"По поводу стипендий: ты сначала подаёшь в университет, потом, если твоя заявка понравится приёмной комиссии, высылают приглашение на стипендию, которая покрывает все расходы","Да, Merit + Need = International Trustee Scholarship",#10 in Regional Universities Midwest,"Нейпервилл, штат Иллинойc",54%,"29%Business/Marketing
13%Psychology
11%Social Sciences
8%Education
7%Visual and Performing Arts
6%Parks And Recreation
5%Communications/Journalism

https://www.northcentralcollege.edu/majors ",3% от student body,"""1. Common Application 
2. Транскрипт
3. Языковой экзамен","TOEFL: 79+
 IELTS: 6.5+","Optional в целом, но можно подать, чтобы показать English Proficiency",3.66/4.0,"$42,026	","$11,878	","Много стипендий, где можно получить (Merit+need)","Много стипендий, где можно получить (Merit+need)",100%,"$22,759",$0 через их сайт,"kmlarsson@noctrl.edu 

Контакт иностранных студентов
Kimberly M Larsson
Executive Director
Center for Global Education","https://www.northcentralcollege.edu/international-students-how-apply 

https://www.northcentralcollege.edu/admission/international-scholarships",,,,,"Да, после номинации нужно будет отправить дополнительные материалы. Вероятнее всего, эссе, но на сайте четко не говорится",$0 через их сайт,,
