University	City	"World University 
Rankings"	"University 
Ranking"	Program	Requirements	IELTS/TOEFL	Deadline	LINK	Tuition fee	Scholarship	Contacts	Extra
 Shenyang Aerospace University	Shenyang 			"1 Aeronautical Engineering
2        Mechanical Engineering
3        Computer Science and Technology        
4        Telecommunication Engineering
5        Electronic Information Engineering        
6        International Business
7        Finance        
8        Cross-border E-Commerce        
9        Automation        
10        Industrial Design"	"(1) Personal photo

(2) Photocopy of passport (front page and blank visa page)

(3) Certified copy of high school transcripts

(4) Valid report of Chinese or English language proficiency tests

(5) Physical examination report"	TOEFL or IELTS results are not necessary. While students must be a fluent English speaker.	" May1st till end of August
Scholarship applications are open from the beginning of January to the mid of April every year and the results will be announced by mid-June."	https://en.sau.edu.cn/index.htm	2700$	https://en.sau.edu.cn/Admission/Scholarship/CSC_Scholarship.htm	"Ms. Maggie Yu
Tel: 86-24-89724298
E-mail: admission@sau.edu.cn; saumaggieyu@163.com"	
Anhui University of Science and Technology	Hefei			"International Trade（Business）

School of Business



Civil Engineering

School of Civil Engineering & Architecture"	"1. Applicants must be non-Chinese citizens with a valid foreign passport and good health condition.

2. Applicants whose official language are not English should provide valid certificate of English proficiency (IELTS 5.5 (academic module) or TOFEL (IBT) 70 or equivalent). If applicant’s senior high school programs are of English medium, the above language requirement is waived, an official teaching language certification is required.

3.Senior high school graduates or above. Students about to graduate before June 2023 should provide the Pre-Graduation Certificate issued by current schools, and the original hard copy of diploma should be brought upon registration.

4. Applicants under 18 by Sept. 1st, 2023 should submit a Guarantee Letter from Guardian in China (Attachment 2)."	IELTS 5.5 (academic module) or TOFEL (IBT) 70 or equivalent	before june 30	https://en.ahut.edu.cn/index.htm	2200$	https://en.ahut.edu.cn/International_____Students_/Admissio/Scholarships.htm	"Phone: 86-555-2311023/2311691

Fax: 86-555-2473747

E-mail: foreign@ahut.edu.cn"	
Zhejiang Normal University 					"1.Registration photo
2.Copy of passport (the photo page)
3.Cope of visa (applicants in China)
4.Copy of your notarized highest diploma (Prospective students must submit official proof of student status by their current school. Documents in languages other than Chinese or English must be attached with notarized Chinese or English translations. Please take the original copy of your current highest diploma with you for registration.)
5.Copy of your final academic transcripts (Transcripts in languages other than Chinese or English must be attached with notarized Chinese or English translations.)
6.Foreigner physical examination form:
（Download atPHYSICAL EXAMINATION RECORD FOR FOREIGNER.pdfThe physical examinations must cover all the items listed in the Foreigner Physical Examination Form. Incomplete records or those without the signature of the attending physician, the official stamp of the hospital or a sealed photograph of the applicants are invalid. Please select the appropriate time to take physical examination as the result is valid for only 6 months.)
7.Police Certificate
8.A statement of no drug addiction historyNo Drug Addiction Statement.docx
9.Bank Statement of one semester tuition fee
10.HSK and HSKK certificates (For Chinese taught programs)
11.TOEFL over 80 points or IELTS5.5 and over (non-English speaking applicants for English taught programs)
12.Study or research plan (in English)
13.Two recommendation letters (for postgraduate programs)
14.Acceptance letter issued by the supervisor (for doctorate programs)
15.Transfer certificate (applicants studying in other universities in China)"	"TOEFL 80+
IELTS 5,5+"	"February 20- July 30, 2023. Late applications will not be considered.

"	https://iso.zjnu.edu.cn/wpplicationwweadline/list.htm	2800$	https://iso.zjnu.edu.cn/wcholarships/list.htm	"

International Student Office（for international student recruitment, admission, administration）

Telephone : +86 (0)579 82282125      Fax : +86 (0)579 82280337

Website: http://iso.zjnu.edu.cn   Email：admissions@zjnu.edu.cn"	
Hebei Normal University 	Shijiazhuang City			"Liberal Arts



Sciences



Fine Arts"	"A. Hebei Normal University Admission Form (automatically generated after registration)
B. Foreigner Physical Examination Form
C. Highest diploma certificate or proof of prospective graduation and transcripts (degree program applicants must provide notarized copy)
D. Scanned copy of passport data page
E. Certificate of no criminal record (students can provide proof of current enrollment)
F. Language proficiency report (HSK/IELTS)
G. Research proposal (for doctoral applicants)
H. Research papers (for doctoral applicants)
I. Official certificate of deposit (bank account with funds sufficient to cover tuition, accommodationand living expenses in China as well as travel expenses to and from China)"	"IELTS 6,0+
Toefl 80+"		https://cice.hebtu.edu.cn/a/en/xxjj/sdjj/index.html	2400$	"

https://cice.hebtu.edu.cn/a/en/SPrograms/CIScholarship/index.html"	"Telephone ：+86-0311-80789542

E-mail : Admission inquiries: studyinhnu@mail.hebtu.edu.cn

Scholarship Inquiries: scholarship@mail.hebtu.edu.cn"	
SOUTHWEST UNIVERSITY OF SCIENCE AND TECHNOLOGY	Mianyang			"
Computer Science and Technology	
Business English		
English		
International Economics and Trade		
Applied Psychology		
Intellectual Property	
Law		
Medical Imaging Technology		
Musicology	
Teaching Chinese to Speakers of Other Languages (TCSL)"			May 22 , 2024	https://swust.cucas.cn/fee-structure/	3000$	https://swust.cucas.cn/scholarships/	"Track application progress: admission@cucas.cn
Tel: 86-10-82865135-13; 86-10-82388301-13"	
Shanghai Lixin University of Accounting and Finance	Shanghai			"International Finance
International Accounting
International Economics and Trade
Business Administration
International Accounting"	"1. Two copies of the Shanghai Government Foreign Student Scholarship Application Form;
2. Notarized photocopy of highest diploma and transcripts. Both documents in languages other than Chinese or English must be translated. If applicants are high school or university students, they shall also provide studying certificates;
3. Study plan in Chinese or English;
4. Two recommendation letters in Chinese or English by professors or teachers;
5. Relevant certificate for Chinese-taught programs
Applicants for Category-A Scholarship should have obtained HSK of level 5 or above; Applicants for Category-B Scholarship should have obtained HSK of level 4 or above.
6. Relevant certificate for English-taught programs"	certificate of IELTS 6 and above, or the certificate of TOEFL 80 and above, or proof of high school English Language proficiency.	"Category-A & B Scholarship application duration: 1st March to 30th May.

Application Notification

SLUAF will notify the students of the enrollment result before July 30 every year."	http://lixin.admissions.cn/info/Shanghai%20Lixin%20University%20of%20Accounting%20and%20Finance	3000$	http://lixin.admissions.cn/guide/2628-Scholarship%20Application.html	lixin.admissions.cn	
- Southwest University of Political Science & Law	Chongqing			"	
Law

International Economy and Trade

E-commerce and Law"	" A formal personal photo
• Copy of valid passport (the photo page)
• The notarized high school transcript (if it is not in English or Chinese, please submit the Notarized English or Chinese translation)
• The notarized high school diploma. Prospective diploma recipients must submit official document issued by your current school to prove your current student status or expected graduation date. (If it is not in English or Chinese, please submit the Notarized English or Chinese translation)
• HSK certificate
• One Recommendation letter
• Physical examination record. It must cover all of the items listed in the Foreigner Physical Examination Form. Incomplete forms or forms without the signature of the attending physician, or the official stamp of the hospital, or a sealed photograph of the applicant are considered as invalid. Please carefully plan your physical examination schedule as the result is valid for only 6 months.                                     
• Non-criminal record (within latest 6 months)
Applicants who fall under ""Application Criteria"" 2 need to scan the following documents into a PDF or Word file to upload:
(1) All personal information pages of passports that have been held;
(2) All visas, residence permits, and entry-exit stamp pages related to the facts of entering, exiting and legally living in Mainland China, Hong Kong, Macau and Taiwan."	"IELTS 6,0+
TOEFL 80+"	Before June 1st	https://english.swupl.edu.cn/aboutswupl/generalinformation/index.htm	3000$	https://english.swupl.edu.cn/admissions/aidsscholarship/index.htm	"E-mail : sierecruitment@126.com

Phone Number: +86-23-67258675 (School of International Education)

+86-23-67258088 (Teaching Affairs Department)"	
Guangzhou university	Guangzhou			" Marxist Philosophy
 Applied Economics
● Law
● Sociology
● Marxist Theory
● Education
● Psychology (Education and Sciences Degrees Can be Granted)
● Physical Education
● Chinese Language and Literature
● English Language and Literature
● Journalism
● Chinese History
● Mathematics
● Theoretical Physics
● Condensed Matter Physics
● Chemistry"	"1. Personal information page of the passport.
 2. High school diploma. For fresh high school graduates, proof of expected graduationfrom the high school should be issued.
 3. Transcripts of all high school courses. 4. A score of 180 points or above in HSK Level 
4 is required for programs taught inChinese.
6. Applicants who have given up their original Chinese citizenship and joined foreigncitizenship and both or one of whose parents have Chinese citizenship should submit:"	"TOEFL 72, 
IELTS 5,5"	30 april	http://english.gzhu.edu.cn/Academics/Academic_Programs.htm	3000$	http://english.gzhu.edu.cn/jsjg.jsp?wbtreeid=1010	gjjyxy@gzhu.edu.cn	
China Foreign Affairs University	Beijing			"Diplomacy, 
English,
 Japanese
 French,
 International Economy and Trade,
 Finance,
 International Law, 
Theory and Practice of Translation/Interpretation"	"Valid passport, a photocopy of your passport (Recommended)
4 two-inch pale blue or white background photos
Admission letter (Original Copy)
Visa application form JW201 or JW202 (Original Copy)
Health Examination Report (Optional)
Photocopy of your relative’s passport, a copy of your visa, marriage certificate, guarantor’s ID copy, etc. (Take documents according to your personal needs)"	"TOEFL  80
IELTS 6,0"	March 1st - May 1st	Website: http://www.bjgaj.gov.cn/index.jsp	3600$	https://eniss.cfau.edu.cn/col4230/71352.htm	"Fax: 86-10-68323243，86-10-68348664

Email: admission@cfau.edu.cn "	
Tianjin University of Science & Technology				"School of Artistic Design
School of Biological Engineering
School Of Electronic Automation
School of Economic and Management
College of Food Engineering and Biotechnology
School of Foreign Language
School of Futher Education
School of Science
School Of Mechanical Engineering
School of Ocean Science and Engineering
"	"Enrollment and Acceptance for International Students
First:Entry Requirements and Procedures:
For Bachelor Degree:
APPLICATION DOCUMENTS (Provided by Students)Valid Passporta. High School Diploma or Equivalent (Notarized Photocopy)b. Complete Transcripts (Notarized Photocopy)c. Certificate of HSK (level 4 or above)d. Study Plan in China (Signature and Date are needed on the last page)e. At least HSK 5 before graduation."		Application Submit Deadline: March, 20 in every year.	Website: www.tust.edu.cn	2500$	http://en.tust.edu.cn/Scholarship.html	Email: study@tust.edu.cn	
Xinjiang University (XJU)	Urumqi			"liberal arts, science and engineering including Chinese language,
International Chinese Language Education,
Chinese
Language and Literature, World Economy, Chemistry, Chemical Engineering, Mathematics, Computer Science and
Technology, Biology,
Tourism, Management,International Student Education
International Politics, Software Engineering, Mechanical Engineering, Transportation Engineering and Electrical Engineering, etc"				https://english.xju.edu.cn/				
Chengdu University of Information Technology	Chengdu				"Passport
Certificate of highest degree
Transcript
Language certificate
 Certificate of Non-criminal Record
Application form of CUIT
Motivation Letter


"				2600$		"Address:  No.24 Block 1, Xuefu Road, Chengdu, China, 610225

Tel: +86-28-85966490  Fax: +86-28-85966993

E-mail: gjjyxy@cuit.edu.cn  Contact Person: Gai Qiuyan"	
Shenzhen Polytechnic Institute							 March to June		3000$		"Martin Zou

E-mail: zougeng@szpt.edu.cn"	
Hunan Institute of Science & Technology	Hunan			"School of EconomicsandManagement
School of Mathematics
School of PhysicsandElectronic Science
School of ChemistryandChemical Engineering
School of Mechanical Engineering
School of Information ScienceandTechnology
School of Civil EngineeringandArchitecture
School of Political ScienceandLaw
School of Chinese LanguageandLiterature
School of Foreign LanguagesandLiterature
School of JournalismandCommunication
School of Music
School of Fine ArtsandDesign
School of Physical Education"	" A copy of the passport.
Ascanningcopy of your highest diploma and transcript( the exchangestudents areadditionalrequired the certificate of student statusfrom your college).
Physical Examination Record for Foreigner at an Entry-Exit Quarantine Bureau in the recent 6 months. (including blood report
A non-criminal certificate issued by relevant departments.
Recommendation letters fromtwodifferent professors or authorities.(if you study for a degree, including preparatory course)
CurriculumVitae. (including youre-mail address and phone number)
Study plan.
2 photos as the passport photoin the recent 6 monthsand e-copy.
Certification of the level of Chinese proficiency (important).
If you don’t pass the HSK 4（HSK5 forpostgraduate education）, you should attend our intermediate Chinese Class and pass the Chinese language testing.
Proof of funds
Applicants for degree education must provide 6-month frozen funds equivalent to US $10,000, and thebank statements must be dated within the last 30 days.
1) Bank statements should be issued by name of applicant, or
2) by name of applicant's guardian (ex. your parents). Proofdocumentsfor the relationship between guardian and applicant and notarized documents shall be provided.
Applicantswhoarestudying in a formalcollegein Chinaneed additional documents as follows：
A transfer consent letter from international affairs office of current college (stamped with the official seal).
Scanningcopies of valid visa or residence permit in China."	"IELTS 6,0
TOEFL 80+"	April 1st to April 30theach year.	https://en.hnist.cn/Admissions/how.htm	2200$-3400$		电话TEL：+86-730-8640912 邮箱E-mail：ieo@hnist.edu.cn	
Shaoguan University	Guangdong			"Liberal Arts Student

Science and Engineering Student

Medical Care and Medicine"	" Application Form
 Copies of valid passport
 School certificate
400 RMB for application fees"			https://cuecc.com/school/guangdong/sgui/	2500$		"Tel: +86-571-88165512
Fax: +86-571-88165698
E-mail：admission@126.com"	
